date,name
2012-04-11,Pesach V (CH''M)
2012-04-12,Pesach VI (CH''M)
2012-04-13,Pesach VII
2012-04-14,Pesach VIII
2012-04-19,Yom HaShoah
2012-04-25,Yom HaZikaron
2012-04-26,Yom HaAtzma'ut
2012-05-20,Yom Yerushalayim
2012-05-26,Erev Shavuot
2012-05-27,Shavuot I
2012-05-28,Shavuot II
2012-07-28,Erev Tish'a B'Av
2012-07-29,Tish'a B'Av (observed)
2012-09-16,Erev Rosh Hashana
2012-09-17,Rosh Hashana 5773
2012-09-18,Rosh Hashana II
2012-09-25,Erev Yom Kippur
2012-09-26,Yom Kippur
2012-09-30,Erev Sukkot
2012-10-01,Sukkot I
2012-10-02,Sukkot II
2012-10-03,Sukkot III (CH''M)
2012-10-04,Sukkot IV (CH''M)
2012-10-05,Sukkot V (CH''M)
2012-10-06,Sukkot VI (CH''M)
2012-10-07,Sukkot VII (Hoshana Raba)
2012-10-08,Shmini Atzeret
2012-10-09,Simchat Torah
2012-11-14,Sigd
2012-12-08,Chanukah: 1 Candle
2012-12-09,Chanukah: 2 Candles
2012-12-10,Chanukah: 3 Candles
2012-12-11,Chanukah: 4 Candles
2012-12-12,Chanukah: 5 Candles
2012-12-13,Chanukah: 6 Candles
2012-12-14,Chanukah: 7 Candles
2012-12-15,Chanukah: 8 Candles
2013-02-23,Erev Purim
2013-02-24,Purim
2013-03-25,Erev Pesach
2013-03-26,Pesach I
2013-03-27,Pesach II
2013-03-28,Pesach III (CH''M)
2013-03-29,Pesach IV (CH''M)
2013-03-30,Pesach V (CH''M)
2013-03-31,Pesach VI (CH''M)
2013-04-01,Pesach VII
2013-04-02,Pesach VIII
2013-04-08,Yom HaShoah
2013-04-15,Yom HaZikaron
2013-04-16,Yom HaAtzma'ut
2013-05-08,Yom Yerushalayim
2013-05-14,Erev Shavuot
2013-05-15,Shavuot I
2013-05-16,Shavuot II
2013-07-15,Erev Tish'a B'Av
2013-07-16,Tish'a B'Av
2013-09-04,Erev Rosh Hashana
2013-09-05,Rosh Hashana 5774
2013-09-06,Rosh Hashana II
2013-09-13,Erev Yom Kippur
2013-09-14,Yom Kippur
2013-09-18,Erev Sukkot
2013-09-19,Sukkot I
2013-09-20,Sukkot II
2013-09-21,Sukkot III (CH''M)
2013-09-22,Sukkot IV (CH''M)
2013-09-23,Sukkot V (CH''M)
2013-09-24,Sukkot VI (CH''M)
2013-09-25,Sukkot VII (Hoshana Raba)
2013-09-26,Shmini Atzeret
2013-09-27,Simchat Torah
2013-11-02,Sigd
2013-11-27,Chanukah: 1 Candle
2013-11-28,Chanukah: 2 Candles
2013-11-29,Chanukah: 3 Candles
2013-11-30,Chanukah: 4 Candles
2013-12-01,Chanukah: 5 Candles
2013-12-02,Chanukah: 6 Candles
2013-12-03,Chanukah: 7 Candles
2013-12-04,Chanukah: 8 Candles
2014-03-15,Erev Purim
2014-03-16,Purim
2014-04-14,Erev Pesach
2014-04-15,Pesach I
2014-04-16,Pesach II
2014-04-17,Pesach III (CH''M)
2014-04-18,Pesach IV (CH''M)
2014-04-19,Pesach V (CH''M)
2014-04-20,Pesach VI (CH''M)
2014-04-21,Pesach VII
2014-04-22,Pesach VIII
2014-04-28,Yom HaShoah
2014-05-05,Yom HaZikaron
2014-05-06,Yom HaAtzma'ut
2014-05-28,Yom Yerushalayim
2014-06-03,Erev Shavuot
2014-06-04,Shavuot I
2014-06-05,Shavuot II
2014-08-04,Erev Tish'a B'Av
2014-08-05,Tish'a B'Av
2014-09-24,Erev Rosh Hashana
2014-09-25,Rosh Hashana 5775
2014-09-26,Rosh Hashana II
2014-10-03,Erev Yom Kippur
2014-10-04,Yom Kippur
2014-10-08,Erev Sukkot
2014-10-09,Sukkot I
2014-10-10,Sukkot II
2014-10-11,Sukkot III (CH''M)
2014-10-12,Sukkot IV (CH''M)
2014-10-13,Sukkot V (CH''M)
2014-10-14,Sukkot VI (CH''M)
2014-10-15,Sukkot VII (Hoshana Raba)
2014-10-16,Shmini Atzeret
2014-10-17,Simchat Torah
2014-11-22,Sigd
2014-12-16,Chanukah: 1 Candle
2014-12-17,Chanukah: 2 Candles
2014-12-18,Chanukah: 3 Candles
2014-12-19,Chanukah: 4 Candles
2014-12-20,Chanukah: 5 Candles
2014-12-21,Chanukah: 6 Candles
2014-12-22,Chanukah: 7 Candles
2014-12-23,Chanukah: 8 Candles
2015-03-04,Erev Purim
2015-03-05,Purim
2015-04-03,Erev Pesach
2015-04-04,Pesach I
2015-04-05,Pesach II
2015-04-06,Pesach III (CH''M)
2015-04-07,Pesach IV (CH''M)
2015-04-08,Pesach V (CH''M)
2015-04-09,Pesach VI (CH''M)
2015-04-10,Pesach VII
2015-04-11,Pesach VIII
2015-04-16,Yom HaShoah
2015-04-22,Yom HaZikaron
2015-04-23,Yom HaAtzma'ut
2015-05-17,Yom Yerushalayim
2015-05-23,Erev Shavuot
2015-05-24,Shavuot I
2015-05-25,Shavuot II
2015-07-25,Erev Tish'a B'Av
2015-07-26,Tish'a B'Av (observed)
2015-09-13,Erev Rosh Hashana
2015-09-14,Rosh Hashana 5776
2015-09-15,Rosh Hashana II
2015-09-22,Erev Yom Kippur
2015-09-23,Yom Kippur
2015-09-27,Erev Sukkot
2015-09-28,Sukkot I
2015-09-29,Sukkot II
2015-09-30,Sukkot III (CH''M)
2015-10-01,Sukkot IV (CH''M)
2015-10-02,Sukkot V (CH''M)
2015-10-03,Sukkot VI (CH''M)
2015-10-04,Sukkot VII (Hoshana Raba)
2015-10-05,Shmini Atzeret
2015-10-06,Simchat Torah
2015-11-11,Sigd
2015-12-06,Chanukah: 1 Candle
2015-12-07,Chanukah: 2 Candles
2015-12-08,Chanukah: 3 Candles
2015-12-09,Chanukah: 4 Candles
2015-12-10,Chanukah: 5 Candles
2015-12-11,Chanukah: 6 Candles
2015-12-12,Chanukah: 7 Candles
2015-12-13,Chanukah: 8 Candles
2016-03-23,Erev Purim
2016-03-24,Purim
2016-04-22,Erev Pesach
2016-04-23,Pesach I
2016-04-24,Pesach II
2016-04-25,Pesach III (CH''M)
2016-04-26,Pesach IV (CH''M)
2016-04-27,Pesach V (CH''M)
2016-04-28,Pesach VI (CH''M)
2016-04-29,Pesach VII
2016-04-30,Pesach VIII
2016-05-05,Yom HaShoah
2016-05-11,Yom HaZikaron
2016-05-12,Yom HaAtzma'ut
2016-06-05,Yom Yerushalayim
2016-06-11,Erev Shavuot
2016-06-12,Shavuot I
2016-06-13,Shavuot II
2016-08-13,Erev Tish'a B'Av
2016-08-14,Tish'a B'Av (observed)
2016-10-02,Erev Rosh Hashana
2016-10-03,Rosh Hashana 5777
2016-10-04,Rosh Hashana II
2016-10-11,Erev Yom Kippur
2016-10-12,Yom Kippur
2016-10-16,Erev Sukkot
2016-10-17,Sukkot I
2016-10-18,Sukkot II
2016-10-19,Sukkot III (CH''M)
2016-10-20,Sukkot IV (CH''M)
2016-10-21,Sukkot V (CH''M)
2016-10-22,Sukkot VI (CH''M)
2016-10-23,Sukkot VII (Hoshana Raba)
2016-10-24,Shmini Atzeret
2016-10-25,Simchat Torah
2016-11-30,Sigd
2016-12-24,Chanukah: 1 Candle
2016-12-25,Chanukah: 2 Candles
2016-12-26,Chanukah: 3 Candles
2016-12-27,Chanukah: 4 Candles
2016-12-28,Chanukah: 5 Candles
2016-12-29,Chanukah: 6 Candles
2016-12-30,Chanukah: 7 Candles
2016-12-31,Chanukah: 8 Candles
2017-03-11,Erev Purim
2017-03-12,Purim
2017-04-06,Yom HaAliyah
2017-04-10,Erev Pesach
2017-04-11,Pesach I
2017-04-12,Pesach II
2017-04-13,Pesach III (CH''M)
2017-04-14,Pesach IV (CH''M)
2017-04-15,Pesach V (CH''M)
2017-04-16,Pesach VI (CH''M)
2017-04-17,Pesach VII
2017-04-18,Pesach VIII
2017-04-24,Yom HaShoah
2017-05-01,Yom HaZikaron
2017-05-02,Yom HaAtzma'ut
2017-05-24,Yom Yerushalayim
2017-05-30,Erev Shavuot
2017-05-31,Shavuot I
2017-06-01,Shavuot II
2017-07-31,Erev Tish'a B'Av
2017-08-01,Tish'a B'Av
2017-09-20,Erev Rosh Hashana
2017-09-21,Rosh Hashana 5778
2017-09-22,Rosh Hashana II
2017-09-29,Erev Yom Kippur
2017-09-30,Yom Kippur
2017-10-04,Erev Sukkot
2017-10-05,Sukkot I
2017-10-06,Sukkot II
2017-10-07,Sukkot III (CH''M)
2017-10-08,Sukkot IV (CH''M)
2017-10-09,Sukkot V (CH''M)
2017-10-10,Sukkot VI (CH''M)
2017-10-11,Sukkot VII (Hoshana Raba)
2017-10-12,Shmini Atzeret
2017-10-13,Simchat Torah
2017-11-18,Sigd
2017-12-12,Chanukah: 1 Candle
2017-12-13,Chanukah: 2 Candles
2017-12-14,Chanukah: 3 Candles
2017-12-15,Chanukah: 4 Candles
2017-12-16,Chanukah: 5 Candles
2017-12-17,Chanukah: 6 Candles
2017-12-18,Chanukah: 7 Candles
2017-12-19,Chanukah: 8 Candles
2018-02-28,Erev Purim
2018-03-01,Purim
2018-03-26,Yom HaAliyah
2018-03-30,Erev Pesach
2018-03-31,Pesach I
2018-04-01,Pesach II
2018-04-02,Pesach III (CH''M)
2018-04-03,Pesach IV (CH''M)
2018-04-04,Pesach V (CH''M)
2018-04-05,Pesach VI (CH''M)
2018-04-06,Pesach VII
2018-04-07,Pesach VIII
2018-04-12,Yom HaShoah
2018-04-18,Yom HaZikaron
2018-04-19,Yom HaAtzma'ut
2018-05-13,Yom Yerushalayim
2018-05-19,Erev Shavuot
2018-05-20,Shavuot I
2018-05-21,Shavuot II
2018-07-21,Erev Tish'a B'Av
2018-07-22,Tish'a B'Av (observed)
2018-09-09,Erev Rosh Hashana
2018-09-10,Rosh Hashana 5779
2018-09-11,Rosh Hashana II
2018-09-18,Erev Yom Kippur
2018-09-19,Yom Kippur
2018-09-23,Erev Sukkot
2018-09-24,Sukkot I
2018-09-25,Sukkot II
2018-09-26,Sukkot III (CH''M)
2018-09-27,Sukkot IV (CH''M)
2018-09-28,Sukkot V (CH''M)
2018-09-29,Sukkot VI (CH''M)
2018-09-30,Sukkot VII (Hoshana Raba)
2018-10-01,Shmini Atzeret
2018-10-02,Simchat Torah
2018-11-07,Sigd
2018-12-02,Chanukah: 1 Candle
2018-12-03,Chanukah: 2 Candles
2018-12-04,Chanukah: 3 Candles
2018-12-05,Chanukah: 4 Candles
2018-12-06,Chanukah: 5 Candles
2018-12-07,Chanukah: 6 Candles
2018-12-08,Chanukah: 7 Candles
2018-12-09,Chanukah: 8 Candles
2019-03-20,Erev Purim
2019-03-21,Purim
2019-04-15,Yom HaAliyah
2019-04-19,Erev Pesach
2019-04-20,Pesach I
2019-04-21,Pesach II
2019-04-22,Pesach III (CH''M)
2019-04-23,Pesach IV (CH''M)
2019-04-24,Pesach V (CH''M)
2019-04-25,Pesach VI (CH''M)
2019-04-26,Pesach VII
2019-04-27,Pesach VIII
2019-05-02,Yom HaShoah
2019-05-08,Yom HaZikaron
2019-05-09,Yom HaAtzma'ut
2019-06-02,Yom Yerushalayim
2019-06-08,Erev Shavuot
2019-06-09,Shavuot I
2019-06-10,Shavuot II
2019-08-10,Erev Tish'a B'Av
2019-08-11,Tish'a B'Av (observed)
2019-09-29,Erev Rosh Hashana
2019-09-30,Rosh Hashana 5780
2019-10-01,Rosh Hashana II
2019-10-08,Erev Yom Kippur
2019-10-09,Yom Kippur
2019-10-13,Erev Sukkot
2019-10-14,Sukkot I
2019-10-15,Sukkot II
2019-10-16,Sukkot III (CH''M)
2019-10-17,Sukkot IV (CH''M)
2019-10-18,Sukkot V (CH''M)
2019-10-19,Sukkot VI (CH''M)
2019-10-20,Sukkot VII (Hoshana Raba)
2019-10-21,Shmini Atzeret
2019-10-22,Simchat Torah
2019-11-27,Sigd
2019-12-22,Chanukah: 1 Candle
2019-12-23,Chanukah: 2 Candles
2019-12-24,Chanukah: 3 Candles
2019-12-25,Chanukah: 4 Candles
2019-12-26,Chanukah: 5 Candles
2019-12-27,Chanukah: 6 Candles
2019-12-28,Chanukah: 7 Candles
2019-12-29,Chanukah: 8 Candles
2020-03-09,Erev Purim
2020-03-10,Purim
2020-04-04,Yom HaAliyah
2020-04-08,Erev Pesach
2020-04-09,Pesach I
2020-04-10,Pesach II
2020-04-11,Pesach III (CH''M)
2020-04-12,Pesach IV (CH''M)
2020-04-13,Pesach V (CH''M)
2020-04-14,Pesach VI (CH''M)
2020-04-15,Pesach VII
2020-04-16,Pesach VIII
2020-04-21,Yom HaShoah
2020-04-28,Yom HaZikaron
2020-04-29,Yom HaAtzma'ut
2020-05-22,Yom Yerushalayim
2020-05-28,Erev Shavuot
2020-05-29,Shavuot I
2020-05-30,Shavuot II
2020-07-29,Erev Tish'a B'Av
2020-07-30,Tish'a B'Av
2020-09-18,Erev Rosh Hashana
2020-09-19,Rosh Hashana 5781
2020-09-20,Rosh Hashana II
2020-09-27,Erev Yom Kippur
2020-09-28,Yom Kippur
2020-10-02,Erev Sukkot
2020-10-03,Sukkot I
2020-10-04,Sukkot II
2020-10-05,Sukkot III (CH''M)
2020-10-06,Sukkot IV (CH''M)
2020-10-07,Sukkot V (CH''M)
2020-10-08,Sukkot VI (CH''M)
2020-10-09,Sukkot VII (Hoshana Raba)
2020-10-10,Shmini Atzeret
2020-10-11,Simchat Torah
2020-11-16,Sigd
2020-12-10,Chanukah: 1 Candle
2020-12-11,Chanukah: 2 Candles
2020-12-12,Chanukah: 3 Candles
2020-12-13,Chanukah: 4 Candles
2020-12-14,Chanukah: 5 Candles
2020-12-15,Chanukah: 6 Candles
2020-12-16,Chanukah: 7 Candles
2020-12-17,Chanukah: 8 Candles
2021-02-25,Erev Purim
2021-02-26,Purim
2021-03-23,Yom HaAliyah
2021-03-27,Erev Pesach
2021-03-28,Pesach I
2021-03-29,Pesach II
2021-03-30,Pesach III (CH''M)
2021-03-31,Pesach IV (CH''M)
2021-04-01,Pesach V (CH''M)
2021-04-02,Pesach VI (CH''M)
2021-04-03,Pesach VII
2021-04-04,Pesach VIII
2021-04-08,Yom HaShoah
2021-04-14,Yom HaZikaron
2021-04-15,Yom HaAtzma'ut
2021-05-10,Yom Yerushalayim
2021-05-16,Erev Shavuot
2021-05-17,Shavuot I
2021-05-18,Shavuot II
2021-07-17,Erev Tish'a B'Av
2021-07-18,Tish'a B'Av
2021-09-06,Erev Rosh Hashana
2021-09-07,Rosh Hashana 5782
2021-09-08,Rosh Hashana II
2021-09-15,Erev Yom Kippur
2021-09-16,Yom Kippur
2021-09-20,Erev Sukkot
2021-09-21,Sukkot I
2021-09-22,Sukkot II
2021-09-23,Sukkot III (CH''M)
2021-09-24,Sukkot IV (CH''M)
2021-09-25,Sukkot V (CH''M)
2021-09-26,Sukkot VI (CH''M)
2021-09-27,Sukkot VII (Hoshana Raba)
2021-09-28,Shmini Atzeret
2021-09-29,Simchat Torah
2021-11-04,Sigd
2021-11-28,Chanukah: 1 Candle
2021-11-29,Chanukah: 2 Candles
2021-11-30,Chanukah: 3 Candles
2021-12-01,Chanukah: 4 Candles
2021-12-02,Chanukah: 5 Candles
2021-12-03,Chanukah: 6 Candles
2021-12-04,Chanukah: 7 Candles
2021-12-05,Chanukah: 8 Candles
2022-03-16,Erev Purim
2022-03-17,Purim
2022-04-11,Yom HaAliyah
2022-04-15,Erev Pesach
2022-04-16,Pesach I
2022-04-17,Pesach II
2022-04-18,Pesach III (CH''M)
2022-04-19,Pesach IV (CH''M)
2022-04-20,Pesach V (CH''M)
2022-04-21,Pesach VI (CH''M)
2022-04-22,Pesach VII
2022-04-23,Pesach VIII
2022-04-28,Yom HaShoah
2022-05-04,Yom HaZikaron
2022-05-05,Yom HaAtzma'ut
2022-05-29,Yom Yerushalayim
2022-06-04,Erev Shavuot
2022-06-05,Shavuot I
2022-06-06,Shavuot II
2022-08-06,Erev Tish'a B'Av
2022-08-07,Tish'a B'Av (observed)
2022-09-25,Erev Rosh Hashana
2022-09-26,Rosh Hashana 5783
2022-09-27,Rosh Hashana II
2022-10-04,Erev Yom Kippur
2022-10-05,Yom Kippur
2022-10-09,Erev Sukkot
2022-10-10,Sukkot I
2022-10-11,Sukkot II
2022-10-12,Sukkot III (CH''M)
2022-10-13,Sukkot IV (CH''M)
2022-10-14,Sukkot V (CH''M)
2022-10-15,Sukkot VI (CH''M)
2022-10-16,Sukkot VII (Hoshana Raba)
2022-10-17,Shmini Atzeret
2022-10-18,Simchat Torah
2022-11-23,Sigd
2022-12-18,Chanukah: 1 Candle
2022-12-19,Chanukah: 2 Candles
2022-12-20,Chanukah: 3 Candles
2022-12-21,Chanukah: 4 Candles
2022-12-22,Chanukah: 5 Candles
2022-12-23,Chanukah: 6 Candles
2022-12-24,Chanukah: 7 Candles
2022-12-25,Chanukah: 8 Candles
2023-03-06,Erev Purim
2023-03-07,Purim
2023-04-01,Yom HaAliyah
2023-04-05,Erev Pesach
2023-04-06,Pesach I
2023-04-07,Pesach II
2023-04-08,Pesach III (CH''M)
2023-04-09,Pesach IV (CH''M)
2023-04-10,Pesach V (CH''M)
2023-04-11,Pesach VI (CH''M)
2023-04-12,Pesach VII
2023-04-13,Pesach VIII
2023-04-18,Yom HaShoah
2023-04-25,Yom HaZikaron
2023-04-26,Yom HaAtzma'ut
2023-05-19,Yom Yerushalayim
2023-05-25,Erev Shavuot
2023-05-26,Shavuot I
2023-05-27,Shavuot II
2023-07-26,Erev Tish'a B'Av
2023-07-27,Tish'a B'Av
2023-09-15,Erev Rosh Hashana
2023-09-16,Rosh Hashana 5784
2023-09-17,Rosh Hashana II
2023-09-24,Erev Yom Kippur
2023-09-25,Yom Kippur
2023-09-29,Erev Sukkot
2023-09-30,Sukkot I
2023-10-01,Sukkot II
2023-10-02,Sukkot III (CH''M)
2023-10-03,Sukkot IV (CH''M)
2023-10-04,Sukkot V (CH''M)
2023-10-05,Sukkot VI (CH''M)
2023-10-06,Sukkot VII (Hoshana Raba)
2023-10-07,Shmini Atzeret
2023-10-08,Simchat Torah
2023-11-13,Sigd
2023-12-07,Chanukah: 1 Candle
2023-12-08,Chanukah: 2 Candles
2023-12-09,Chanukah: 3 Candles
2023-12-10,Chanukah: 4 Candles
2023-12-11,Chanukah: 5 Candles
2023-12-12,Chanukah: 6 Candles
2023-12-13,Chanukah: 7 Candles
2023-12-14,Chanukah: 8 Candles
